Co-op/Regular,Degree Career,Degree Convocation,Degree Level,Degree Type,Degree Year,Faculty Group,First/All majors,Program Grouping,Visa Status,Number of Degrees
Coop,Graduate,Fall,Doctoral,Degree,2010,ARTS,First majors,Applied Economics,Canadian,1
Coop,Graduate,Fall,Doctoral,Degree,2013,ARTS,First majors,Applied Economics,Canadian,1
Coop,Graduate,Fall,Master,Degree,2008,ARTS,First majors,English Language and Literature,Canadian,2
Coop,Graduate,Fall,Master,Degree,2009,ARTS,First majors,Economics,Canadian,1
Coop,Graduate,Fall,Master,Degree,2009,ENG,First majors,Civil Engineering,Canadian Permanent Resident,3
Coop,Graduate,Fall,Master,Degree,2009,ENG,First majors,Civil Engineering,Canadian,1
Coop,Graduate,Fall,Master,Degree,2009,MATH,First majors,Combinatorics and Optimization,International,1
Coop,Graduate,Fall,Master,Degree,2009,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2010,ARTS,First majors,Economics,International,1
Coop,Graduate,Fall,Master,Degree,2010,ARTS,First majors,Economics,Canadian,1
Coop,Graduate,Fall,Master,Degree,2010,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2010,MATH,First majors,Statistics,International,1
Coop,Graduate,Fall,Master,Degree,2010,MATH,First majors,Statistics,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2011,ARTS,First majors,English Language and Literature,Canadian,1
Coop,Graduate,Fall,Master,Degree,2011,ARTS,First majors,Public Service,Canadian,1
Coop,Graduate,Fall,Master,Degree,2011,ENG,First majors,Civil Engineering,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2011,ENG,First majors,Management Sciences,Canadian,1
Coop,Graduate,Fall,Master,Degree,2011,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2012,ARTS,First majors,English Language and Literature,Canadian,2
Coop,Graduate,Fall,Master,Degree,2013,ARTS,First majors,English Language and Literature,Canadian,1
Coop,Graduate,Fall,Master,Degree,2013,ENG,First majors,Management Sciences,International,1
Coop,Graduate,Fall,Master,Degree,2013,MATH,First majors,Combinatorics and Optimization,International,1
Coop,Graduate,Fall,Master,Degree,2014,ARTS,First majors,Economics,Canadian Permanent Resident,1
